rider_length,trip_duration,user_type,week_name
85560,85554,Subscriber,Wednesday
85980,85984,Subscriber,Tuesday
87000,86990,Subscriber,Monday
87300,87258,Subscriber,Wednesday
87360,87387,Subscriber,Thursday
87540,87494,Customer,Saturday
87540,87576,Subscriber,Wednesday
87660,87660,Customer,Sunday
87660,87678,Subscriber,Wednesday
87780,87775,Customer,Saturday
87780,87797,Subscriber,Sunday
87840,87891,Subscriber,Friday
88020,87977,Subscriber,Wednesday
88020,88026,Subscriber,Sunday
88200,88177,Subscriber,Wednesday
88560,88529,Subscriber,Friday
88560,88573,Subscriber,Friday
88920,88924,Subscriber,Tuesday
88920,88937,Subscriber,Sunday
89100,89074,Subscriber,Sunday
89160,89180,Subscriber,Tuesday
89280,89237,Subscriber,Monday
89280,89280,Subscriber,Friday
89280,89307,Subscriber,Thursday
89460,89458,Subscriber,Saturday
89640,89649,Subscriber,Tuesday
89760,89760,Customer,Saturday
89940,89936,Customer,Saturday
90600,90546,Subscriber,Monday
90600,90575,Subscriber,Wednesday
90660,90629,Subscriber,Friday
91200,91180,Customer,Friday
92160,92133,Subscriber,Saturday
92220,92235,Subscriber,Thursday
92460,92454,Subscriber,Wednesday
92580,92528,Subscriber,Sunday
92580,92586,Subscriber,Monday
92640,92628,Subscriber,Sunday
92700,92695,Subscriber,Friday
92760,92768,Subscriber,Friday
92820,92792,Subscriber,Wednesday
93720,93724,Subscriber,Friday
93900,93876,Subscriber,Saturday
93960,93958,Customer,Sunday
94380,94402,Customer,Friday
94620,94613,Subscriber,Sunday
94740,94747,Subscriber,Friday
95400,95430,Customer,Wednesday
95940,95950,Subscriber,Sunday
96480,96453,Subscriber,Thursday
96780,96772,Subscriber,Thursday
97500,97496,Subscriber,Sunday
98340,98329,Subscriber,Wednesday
98340,98348,Subscriber,Thursday
99120,99124,Subscriber,Wednesday
99360,99346,Subscriber,Friday
99660,99679,Customer,Sunday
100380,100412,Customer,Monday
100560,100592,Customer,Thursday
100860,100850,Customer,Tuesday
101040,101046,Subscriber,Tuesday
101220,97627,Subscriber,Sunday
101460,101518,Customer,Sunday
101640,101649,Customer,Friday
102120,102126,Customer,Monday
102900,102900,Subscriber,Wednesday
102960,102959,Customer,Saturday
103200,103200,Customer,Sunday
104160,104135,Subscriber,Wednesday
105120,105173,Subscriber,Wednesday
105240,105210,Customer,Monday
106140,106152,Subscriber,Friday
108660,108691,Customer,Monday
112020,112014,Customer,Monday
112440,112466,Customer,Wednesday
116700,116728,Subscriber,Friday
122880,122889,Subscriber,Friday
124500,124487,Subscriber,Friday
125700,125705,Customer,Monday
127860,127846,Subscriber,Saturday
129060,129033,Customer,Monday
131340,131354,Subscriber,Monday
132120,132150,Customer,Monday
133140,133155,Customer,Sunday
137100,137123,Subscriber,Thursday
137820,137795,Subscriber,Wednesday
138540,138512,Subscriber,Tuesday
141360,141362,Customer,Monday
143400,143379,Subscriber,Friday
146160,146189,Subscriber,Tuesday
146340,146302,Subscriber,Saturday
147420,147407,Customer,Saturday
147480,147465,Subscriber,Monday
149100,149088,Subscriber,Sunday
149400,149350,Subscriber,Tuesday
149400,149354,Subscriber,Sunday
149640,149634,Subscriber,Wednesday
149820,149812,Customer,Wednesday
150840,150836,Customer,Thursday
151380,151382,Subscriber,Saturday
152100,152096,Customer,Monday
152340,152371,Customer,Monday
154020,154026,Customer,Sunday
154320,154275,Subscriber,Sunday
154320,154301,Customer,Friday
155520,155519,Subscriber,Saturday
155940,155949,Subscriber,Thursday
157200,157204,Customer,Saturday
158520,158510,Subscriber,Sunday
160560,160586,Customer,Sunday
161040,161043,Subscriber,Sunday
162540,162556,Customer,Monday
162780,162786,Customer,Friday
162960,162957,Subscriber,Sunday
164400,164414,Customer,Friday
166260,166260,Subscriber,Wednesday
167340,167352,Subscriber,Thursday
167820,167805,Customer,Sunday
171000,171017,Subscriber,Monday
174300,174293,Subscriber,Saturday
178920,178966,Customer,Sunday
178980,178948,Subscriber,Thursday
180000,180042,Subscriber,Wednesday
183420,183414,Subscriber,Monday
183660,183673,Customer,Monday
206640,206622,Customer,Thursday
209340,209356,Subscriber,Friday
217680,217669,Subscriber,Monday
221640,221656,Subscriber,Wednesday
225720,225695,Customer,Tuesday
232680,232674,Subscriber,Saturday
238020,237997,Customer,Tuesday
241740,241708,Subscriber,Saturday
246660,246665,Subscriber,Friday
249000,249014,Customer,Sunday
257040,257016,Customer,Friday
257400,257358,Subscriber,Tuesday
262620,262635,Subscriber,Wednesday
262860,262823,Subscriber,Friday
273660,273627,Customer,Tuesday
274800,274780,Subscriber,Monday
282900,282910,Customer,Tuesday
289020,288983,Subscriber,Monday
289740,289709,Customer,Friday
313560,313510,Customer,Thursday
315540,315569,Subscriber,Thursday
315960,315974,Subscriber,Tuesday
319920,319919,Customer,Wednesday
330900,330888,Customer,Monday
335280,335251,Subscriber,Thursday
340200,340203,Subscriber,Sunday
378960,378974,Customer,Friday
389580,389591,Subscriber,Monday
419100,419112,Customer,Thursday
424680,424680,Subscriber,Thursday
429240,429263,Subscriber,Thursday
431880,431874,Customer,Tuesday
440040,440069,Subscriber,Sunday
455220,455202,Subscriber,Thursday
466860,466867,Subscriber,Tuesday
477720,477724,Customer,Friday
484200,484192,Subscriber,Tuesday
493320,493353,Customer,Wednesday
518400,518435,Customer,Sunday
610020,610041,Subscriber,Thursday
610140,610185,Subscriber,Friday
619920,619929,Subscriber,Monday
647760,647770,Customer,Friday
665820,665816,Subscriber,Thursday
666660,666650,Subscriber,Wednesday
706440,706404,Customer,Sunday
735360,735375,Subscriber,Tuesday
759540,759546,Subscriber,Saturday
783720,783705,Subscriber,Monday
809700,809697,Subscriber,Sunday
823080,819486,Subscriber,Tuesday
928980,928986,Customer,Wednesday
940800,940780,Customer,Wednesday
959100,959086,Subscriber,Tuesday
1195620,1195680,Subscriber,Tuesday
1231140,1231180,Subscriber,Saturday
1368300,1368310,Subscriber,Monday
1609620,1609620,Subscriber,Wednesday
1764840,1764840,Customer,Tuesday
1887900,1887870,Subscriber,Monday
2358960,2358950,Customer,Friday
2592900,2592880,Subscriber,Tuesday
3099300,3095670,Subscriber,Tuesday
3406980,3406960,Customer,Wednesday
3930480,3926850,Subscriber,Tuesday
4863060,4859470,Customer,Thursday
5649780,5646180,Subscriber,Thursday
6096420,6096430,Subscriber,Wednesday
10632000,10628400,Customer,Monday
